run,seconds,launches,mean_mhz,median_mhz,min_mhz,max_mhz,energy_J,watts_energy,watts_samples,mean_temp,gops,pj_per_op
iadd3_lo,60.0,240,2092,2092,2092,2092,13668.1,227.8,228.3,42,25196.1,9.0410
iadd3_hi,60.1,241,2092,2092,2092,2092,13163.0,218.9,219.0,46,25222.4,8.6769
lop3_lo,60.1,313,2092,2092,2092,2092,12559.4,208.9,208.8,45,25226.8,8.2824
lop3_hi,60.1,313,2092,2092,2092,2092,12843.3,213.7,213.7,45,25226.6,8.4696
shf_lo,60.0,312,2092,2092,2092,2092,10777.7,179.6,179.7,42,25188.9,7.1302
shf_hi,60.1,313,2092,2092,2092,2092,14039.5,233.5,233.4,45,25224.6,9.2584
imad32_lo,60.1,313,2092,2092,2092,2092,13079.3,217.6,217.5,44,25232.3,8.6252
imad32_hi,60.1,313,2092,2092,2092,2092,14527.3,241.7,241.6,46,25232.6,9.5801
imadwide_fb_lo,60.2,156,2092,2092,2092,2092,17756.3,294.7,294.6,50,25089.7,11.7471
imadwide_fb_hi,60.2,156,2092,2092,2092,2092,16858.1,279.8,279.8,51,25089.1,11.1528
add64_lo,60.1,311,2092,2092,2092,2092,18508.8,308.1,307.9,52,25083.5,12.2843
add64_hi,60.1,311,2092,2092,2092,2092,18479.8,307.7,307.4,52,25083.9,12.2650
ffma_lo,60.2,241,2092,2092,2092,2092,14463.7,240.2,240.3,48,49858.3,4.8168
ffma_hi,60.2,241,2092,2092,2092,2092,14784.2,245.6,245.5,47,49860.3,4.9267
lds_lo,60.0,240,2092,2092,2092,2092,12299.7,205.0,205.3,39,9445.6,21.6997
lds_hi,60.2,241,2092,2092,2092,2092,12631.0,209.7,210.0,41,9445.9,22.1969
mix61,60.0,240,2092,2092,2092,2092,21138.9,352.3,352.2,52,28440.6,12.3876
dram_lo,60.0,241,2092,2092,2092,2092,14739.2,245.5,245.8,42,1546.5,158.7683
dram_hi,60.1,241,2092,2092,2092,2092,17749.4,295.5,294.9,44,1546.5,191.0614
