run,seconds,launches,mean_mhz,median_mhz,min_mhz,max_mhz,energy_J,watts_energy,watts_samples,mean_temp,gops,pj_per_op
iadd3_lo,60.1,242,2392,2392,2370,2392,16900.9,281.2,281.3,51,28824.9,9.7549
iadd3_hi,60.2,241,2392,2392,2392,2392,17893.0,297.1,296.7,51,28824.3,10.3077
lop3_lo,60.2,358,2392,2392,2392,2392,16984.4,282.3,282.1,50,28828.0,9.7926
lop3_hi,60.2,358,2392,2392,2377,2392,17138.6,284.9,284.6,50,28828.2,9.8815
shf_lo,60.1,355,2378,2392,2347,2392,12697.3,211.3,212.0,45,28624.0,7.3827
shf_hi,60.1,358,2392,2392,2347,2392,18433.2,306.5,305.6,50,28836.5,10.6279
imad32_lo,60.1,358,2392,2392,2392,2392,17535.6,291.5,291.2,51,28835.1,10.1104
imad32_hi,60.1,358,2392,2392,2392,2392,19942.0,331.6,330.7,53,28836.2,11.4978
imadwide_fb_lo,60.1,178,2392,2392,2392,2392,25284.6,420.5,419.3,58,28680.5,14.6601
imadwide_fb_hi,60.1,178,2392,2392,2392,2392,23254.2,386.6,386.1,56,28674.2,13.4829
add64_lo,60.2,356,2392,2392,2392,2392,26383.3,438.6,438.2,60,28670.7,15.2971
add64_hi,60.2,356,2392,2392,2392,2392,26441.4,439.5,438.4,60,28670.4,15.3308
ffma_lo,60.2,241,2392,2392,2392,2392,19798.3,328.9,329.0,54,56977.5,5.7719
ffma_hi,60.2,241,2392,2392,2392,2392,20372.4,338.3,338.4,55,56976.6,5.9384
lds_lo,60.2,241,2392,2392,2392,2392,14275.3,236.9,237.1,48,10813.7,21.9110
lds_hi,60.2,241,2392,2392,2392,2392,14444.0,239.9,240.3,48,10813.2,22.1860
mix61,60.2,241,2392,2392,2392,2392,31319.2,520.4,520.1,64,32525.8,16.0008
dram_lo,60.0,241,2392,2392,2392,2392,15449.1,257.3,258.2,47,1547.2,166.2995
dram_hi,60.0,241,2392,2392,2392,2392,18708.3,311.6,311.2,49,1547.2,201.3829
