run,seconds,launches,mean_mhz,median_mhz,min_mhz,max_mhz,energy_J,watts_energy,watts_samples,mean_temp,gops,pj_per_op
iadd3_lo,60.2,241,2422,2422,2422,2422,17747.7,294.6,294.4,54,29191.0,10.0918
iadd3_hi,60.2,238,2401,2400,2400,2422,18042.1,299.9,299.8,54,28870.9,10.3891
lop3_lo,60.1,362,2422,2422,2422,2422,17737.3,295.3,294.6,54,29200.4,10.1137
lop3_hi,60.1,362,2422,2422,2422,2422,17900.0,298.0,297.4,54,29201.8,10.2065
shf_lo,60.0,362,2422,2422,2422,2422,12632.9,210.4,210.9,48,29213.4,7.2032
shf_hi,60.1,354,2373,2370,2362,2422,18043.5,300.1,299.4,53,28528.7,10.5208
imad32_lo,60.1,360,2408,2407,2400,2422,18043.4,300.2,299.8,54,29017.4,10.3454
imad32_hi,60.0,343,2303,2302,2302,2422,18011.9,300.1,299.7,54,27690.9,10.8392
imadwide_fb_lo,60.2,157,2114,2115,2107,2332,18088.6,300.2,299.8,54,25250.0,11.8906
imadwide_fb_hi,60.3,161,2164,2160,2160,2407,18087.8,299.9,300.0,54,25866.9,11.5947
add64_lo,60.2,307,2072,2070,2062,2400,18068.3,300.3,299.8,54,24716.8,12.1482
add64_hi,60.1,307,2072,2070,2070,2362,18034.5,300.1,299.8,54,24747.8,12.1254
ffma_lo,60.1,229,2313,2310,2310,2422,18069.5,300.6,299.8,54,54956.8,5.4703
ffma_hi,60.0,226,2288,2287,2280,2422,18003.9,300.0,299.9,54,54312.7,5.5232
lds_lo,60.2,241,2422,2422,2422,2422,14809.5,245.8,245.9,50,10954.7,22.4383
lds_hi,60.0,240,2422,2422,2422,2422,14917.1,248.6,248.9,49,10954.3,22.6954
mix61,60.0,230,1909,1912,1897,1935,17995.7,299.9,300.0,53,25438.7,11.7902
dram_lo,60.0,241,2422,2422,2422,2422,15577.5,259.5,259.2,46,1547.3,167.6824
dram_hi,60.0,241,2335,2332,2325,2422,18039.3,300.4,299.5,47,1547.2,194.1813
